Rank,Club,Matches,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference,Points,Points_Per_Match,Attendance,Top_Scorer,unique_ID,Top_Scorer_Name,Top_Scorer_Goals,Expected_Goals_Difference_Per_90_Mins,Season
1,Chelsea,18,13,5,0,44,13,31,44,2.44,1884.0,Fran Kirby - 8,Chelsea_2017_2018,Fran_Kirby,8,,2017
2,Manchester_City,18,12,2,4,51,17,34,38,2.11,3818.0,Nikita Parris - 11,Manchester_City_2017_2018,Nikita_Parris,11,,2017
3,Arsenal,18,11,4,3,38,18,20,37,2.06,586.0,Beth Mead - 8,Arsenal_2017_2018,Beth_Mead,8,,2017
4,Reading,18,9,5,4,40,18,22,32,1.78,647.0,Remi Allen - 9,Reading_2017_2018,Remi_Allen,9,,2017
5,Birmingham_City,18,9,3,6,30,18,12,30,1.67,741.0,Ellen White - 15,Birmingham_City_2017_2018,Ellen_White,15,,2017
6,Liverpool,18,9,1,8,30,27,3,28,1.56,634.0,Bethany England - 10,Liverpool_2017_2018,Bethany_England,10,,2017
7,Sunderland,18,5,1,12,15,40,-25,16,0.89,363.0,"Keira Ramshaw, Lucy Staniforth... - 3",Sunderland_2017_2018,"Keira_Ramshaw, Lucy_Staniforth...",3,,2017
8,Bristol_City,18,5,1,12,13,47,-34,16,0.89,609.0,Lauren Hemp - 7,Bristol_City_2017_2018,Lauren_Hemp,7,,2017
9,Everton,18,4,2,12,19,30,-11,14,0.78,402.0,Danielle Turner - 5,Everton_2017_2018,Danielle_Turner,5,,2017
10,Yeovil_Town,18,0,2,16,2,54,-52,2,0.11,483.0,"Hannah Miles, Ann-Marie Heatherson - 1",Yeovil_Town_2017_2018,"Hannah_Miles, Ann-Marie_Heatherson",1,,2017
1,Arsenal,20,18,0,2,70,13,57,54,2.7,2010.0,Vivianne Miedema - 22,Arsenal_2018_2019,Vivianne_Miedema,22,1.7,2018
2,Manchester_City,20,14,5,1,53,17,36,47,2.35,1506.0,Nikita Parris - 19,Manchester_City_2018_2019,Nikita_Parris,19,1.36,2018
3,Chelsea,20,12,6,2,46,14,32,42,2.1,2040.0,Bethany England - 12,Chelsea_2018_2019,Bethany_England,12,1.51,2018
4,Birmingham_City,20,13,1,6,29,17,12,40,2.0,866.0,Ellen White - 6,Birmingham_City_2018_2019,Ellen_White,6,0.17,2018
5,Reading,20,8,3,9,33,30,3,27,1.35,810.0,Fara Williams - 11,Reading_2018_2019,Fara_Williams,11,0.12,2018
6,Bristol_City,20,7,4,9,17,34,-17,25,1.25,485.0,Lucy Graham - 7,Bristol_City_2018_2019,Lucy_Graham,7,-1.13,2018
7,West_Ham,20,7,2,11,25,37,-12,23,1.15,879.0,Jane Ross - 7,West_Ham_2018_2019,Jane_Ross,7,-0.49,2018
8,Liverpool,20,7,1,12,21,38,-17,22,1.1,530.0,Courtney Sweetman-Kirk - 10,Liverpool_2018_2019,Courtney_Sweetman-Kirk,10,-0.23,2018
9,Brighton,20,4,4,12,16,38,-22,16,0.8,975.0,Ellie Brazil - 4,Brighton_2018_2019,Ellie_Brazil,4,-0.36,2018
10,Everton,20,3,3,14,15,38,-23,12,0.6,200.0,Inessa Kaagman - 4,Everton_2018_2019,Inessa_Kaagman,4,-0.51,2018
11,Yeovil_Town,20,2,1,17,11,60,-49,-3,-0.15,719.0,Ellie Mason - 3,Yeovil_Town_2018_2019,Ellie_Mason,3,-2.16,2018
