Team,Ground,Capacity,Season
Arsenal,Meadow Park,4502,2017
Birmingham_City,Damson Park,3050,2017
Bristol_City,Stoke Gifford Stadium,1500,2017
Chelsea,Kingsmeadow,4850,2017
Everton,Select Security Stadium,13350,2017
Liverpool,Select Security Stadium,13350,2017
Manchester_City,Academy Stadium,7000,2017
Reading,Adams Park,9617,2017
Sunderland,Mariners Park,3000,2017
Yeovil_Town,Huish Park,9565,2017
Arsenal,Meadow Park,4502,2018
Birmingham_City,Damson Park,3050,2018
Brighton,Broadfield Stadium,6134,2018
Bristol_City,Stoke Gifford Stadium,1500,2018
Chelsea,Kingsmeadow,4850,2018
Everton,Haig Avenue,6008,2018
Liverpool,Prenton Park,16587,2018
Manchester_City,Academy Stadium,7000,2018
Reading,Adams Park,9617,2018
West_Ham,Rush Green Training Ground,3000,2018
Yeovil_Town,The Avenue Stadium,5229,2018
Arsenal,Meadow Park,4502,2019
Aston_Villa,Bescot Stadium,11000,2019
Birmingham_City,Damson Park,3050,2019
Brighton,Broadfield Stadium,6134,2019
Bristol_City,Twerton Park,3528,2019
Chelsea,Kingsmeadow,4850,2019
Everton,Walton Hall Park,2200,2019
Manchester_City,Academy Stadium,7000,2019
Manchester_United,Leigh Sports Village,12000,2019
Reading,Madejski Stadium,24161,2019
Tottenham,The Hive Stadium,6500,2019
West_Ham,Victoria Road,6078,2019
Arsenal,Meadow Park,4502,2020
Birmingham_City,Damson Park,3050,2020
Brighton,Broadfield Stadium,6134,2020
Bristol_City,Stoke Gifford Stadium,1500,2020
Chelsea,Kingsmeadow,4850,2020
Everton,Walton Hall Park,2200,2020
Liverpool,Prenton Park,16587,2020
Manchester_City,Academy Stadium,7000,2020
Manchester_United,Leigh Sports Village,12000,2020
Reading,Adams Park,9617,2020
Tottenham,The Hive Stadium,6500,2020
West_Ham,Rush Green Stadium,3000,2020
Arsenal,Meadow Park,4502,2021
Aston_Villa,Bescot Stadium,11300,2021
Birmingham_City,St Andrew's,29902,2021
Brighton,Broadfield Stadium,5800,2021
Chelsea,Kingsmeadow,4850,2021
Everton,Walton Hall Park,2200,2021
Leicester_City,King Power Stadium,32212,2021
Manchester_City,Academy Stadium,7000,2021
Manchester_United,Leigh Sports Village,12000,2021
Reading,Madejski Stadium,24161,2021
Tottenham,The Hive Stadium,5419,2021
West_Ham,Victoria Road,6078,2021
Arsenal,Meadow Park,4050,2022
Aston_Villa,Bescot Stadium,11300,2022
Brighton,Broadfield Stadium,5800,2022
Chelsea,Kingsmeadow,4850,2022
Everton,Walton Hall Park,2200,2022
Leicester_City,King Power Stadium,32212,2022
Liverpool,Prenton Park,16547,2022
Manchester_City,Academy Stadium,7000,2022
Manchester_United,Leigh Sports Village,12000,2022
Reading,Madejski Stadium,24161,2022
Tottenham,Brisbane Road,9271,2022
West_Ham,Victoria Road,6078,2022
Arsenal,Meadow Park,4500,2023
Aston_Villa,Bescot Stadium,11300,2023
Brighton,Broadfield Stadium,5800,2023
Bristol_City,Ashton Gate,27000,2023
Chelsea,Kingsmeadow,4850,2023
Everton,Walton Hall Park,2200,2023
Leicester_City,King Power Stadium,32212,2023
Liverpool,Prenton Park,16547,2023
Manchester_City,Academy Stadium,7000,2023
Manchester_United,Leigh Sports Village,12000,2023
Tottenham,Brisbane Road,9271,2023
West_Ham,Victoria Road,6078,2023
Arsenal,Emirates Stadium,60704,2024
Aston_Villa,Villa Park,42640,2024
Brighton,Broadfield Stadium,6134,2024
Chelsea,Kingsmeadow,4850,2024
Crystal_Palace,Gander Green Lane,5013,2024
Everton,Walton Hall Park,2200,2024
Leicester_City,King Power Stadium,32212,2024
Liverpool,Totally Wicked Stadium,18000,2024
Manchester_City,Academy Stadium,7000,2024
Manchester_United,Leigh Sports Village,12000,2024
Tottenham,Brisbane Road,9271,2024
West_Ham,Victoria Road,6078,2024
