Rk,Nation,# Players,Min,List,FIFA Ranking
1,eng England,143,"109,957","Nikita Parris, Beth Mead, Fara Williams, Georgia Stanway, Keira Walsh, Lucy Staniforth, Bethany England, Courtney Sweetman-Kirk, Charlie Wellings, Brooke Chaplen ...",4
2,sct Scotland,19,"19,122","Erin Cuthbert, Lucy Graham, Kim Little, Jane Ross, Caroline Weir, Frankie Brown, Chloe Arthur, Lisa Evans, Jennifer Beattie, Christie Murray ...",20
3,wls Wales,18,"15,798","Natasha Harding, Hayley Ladd, Kayleigh Green, Loren Dykes, Angharad James, Gemma Evans, Georgia Evans, Sophie Ingle, Nicola Cousins, Hannah Cain ...",29
4,ie Republic of Ireland,15,"14,894","Katie McCabe, Aoife Mannion, Grace Moloney, Megan Walsh, Louise Quinn, Niamh Fahey, Marie Hourihan, Leanne Kiernan, Harriet Scott, Lucy Quinn ...",33
5,nl Netherlands,10,"11,608","Vivianne Miedema, Daniëlle van de Donk, Inessa Kaagman, Dominique Janssen, Danique Kerkdijk, Siri Worm, Lucienne Reichardt, Esmee de Graaf, Dominique Bruinenberg, Sari van Veenendaal",7
6,jm Jamaica,8,"6,095","Victoria Williams, Drew Spence, Satara Murray, Rebecca Spencer, Vyan Sampson, Jade Bailey, Paige Bailey-Gayle, Shania Hayles",53
7,de Germany,6,"3,697","Julia Simic, Anke Preuß, Ann-Katrin Berger, Marisa Ewers, Pauline Bremer, Tabea Kemme",2
8,nir Northern Ireland,5,"5,728","Ellie Mason, Simone Magill, Rachel Furness, Laura Rafferty, Becky Flaherty",61
9,se Sweden,5,"4,365","Magdalena Eriksson, Jonna Andersson, Hedvig Lindahl, Amanda Nildén, Jessica Samuelsson",9
10,nz New Zealand,4,"1,830","Ria Percival, Ali Riley, Katie Rood, Olivia Chance",19
11,dk Denmark,4,"1,051","Katrine Veje, Janni Arnth, Nadia Nadim, Mie Leth Jans",17
12,us United States,3,"3,997","Brianna Visalli, Erin Simon, Brooke Hendrix",1
13,ch Switzerland,3,"3,846","Alisha Lehmann, Ramona Bachmann, Lia Wälti",18
14,be Belgium,3,"3,768","Julie Biesmans, Tessa Wullaert, Yana Daniels",21
15,ng Nigeria,2,"2,238","Iniabasi Umotong, Rinsola Babajide",39
16,kr Korea Republic,2,"2,000","Ji So-yun, Cho So-hyun",14
17,fi Finland,2,"1,253","Juliette Kemppi, Adelina Engman",28
18,no Norway,2,870,"Maren Mjelde, Maria Thorisdottir",13
19,ca Canada,2,638,"Janine Sonis, Adriana Leon",8
20,fr France,1,"1,170",Pauline Peyraud-Magnin,3
21,gh Ghana,1,948,Chantelle Boye-Hlorkah,50
22,ma Morocco,1,795,Rosella Ayane,79
23,is Iceland,1,208,Rakel Hönnudóttir,22
24,ws Samoa,1,157,Monique Fischer,113
25,at Austria,1,104,Viktoria Schnaderbeck,23
26,pt Portugal,1,,Ana Albuquerque,32
