Rk,Nation,# Players,Min,List,FIFA Ranking,
1,eng England,137,"117,131","Beth Mead, Ella Toone, Lauren Hemp, Katie Zelem, Alessia Russo, Leah Galton, Alex Greenwood, Georgia Stanway, Rachel Williams, Ashleigh Neville ...",8,
2,sct Scotland,21,"17,991","Caroline Weir, Kim Little, Erin Cuthbert, Sophie Howard, Sandy MacIver, Christie Murray, Martha Thomas, Lisa Evans, Claire Emslie, Lisa Robertson ...",23,
3,ie Republic of Ireland,16,"18,457","Louise Quinn, Katie McCabe, Lucy Quinn, Megan Walsh, Grace Moloney, Jamie Finn, Harriet Scott, Megan Connolly, Aoife Mannion, Ruesha Littlejohn ...",31,
4,wls Wales,16,"10,992","Gemma Evans, Lily Woodham, Natasha Harding, Sophie Ingle, Rachel Rowe, Kayleigh Green, Hayley Ladd, Josephine Green, Hannah Cain, Lois Joel ...",33,
5,au Australia,10,"10,431","Sam Kerr, Steph Catley, Mackenzie Arnold, Caitlin Foord, Tameka Yallop, Kyah Simon, Emily Gielnik, Alanna Kennedy, Hayley Raso, Lydia Williams",11,
6,se Sweden,10,"9,176","Hanna Bennison, Anna Anvegard, Magdalena Eriksson, Jonna Andersson, Stina Blackstenius, Nathalie Björn, Emma Kullberg, Zećira Mušović, Julia Zigiotti Olme, Filippa Angeldahl",2,
7,dk Denmark,8,"4,257","Pernille Harder, Sanne Troelsgaard Nielsen, Rikke Sevecke, Emma Snerle, Cecilie Sandvej, Signe Bruun, Simone Boye Sørensen, Nicoline Sørensen",14,
8,no Norway,7,"6,950","Guro Reiten, Amalie Eikeland, Maria Thorisdottir, Frida Maanum, Vilde Bøe Risa, Julie Blakstad, Maren Mjelde",12,
9,jm Jamaica,7,"4,865","Victoria Williams, Khadija Shaw, Rebecca Spencer, Drew Spence, Shania Hayles, Paige Bailey-Gayle, Lachante Paul",51,
10,nl Netherlands,6,"8,216","Vivianne Miedema, Inessa Kaagman, Esmee de Graaf, Danique Kerkdijk, Aniek Nouwen, Jackie Groenen",5,
11,ca Canada,5,"6,043","Deanne Rose, Jessie Fleming, Shelina Zadorsky, Adriana Leon, Janine Sonis",6,
12,fr France,5,"5,809","Maéva Clemaron, Hawa Cissoko, Kenza Dali, Karima Benameur, Valérie Gauvin",4,
13,de Germany,5,"4,662","Ramona Petzelberger, Ann-Katrin Berger, Leonie Maier, Melanie Leupolz, Marisa Ewers",3,
14,kr Korea Republic,4,"2,404","Lee Geum-min, Ji So-yun, Cho So-hyun, Jeon Ga-eul",18,
15,ch Switzerland,3,"4,872","Alisha Lehmann, Lia Wälti, Noelle Maritz",17,
16,fi Finland,3,"3,603","Emma Koivisto, Tinja-Riikka Korpela, Eveliina Summanen",28,
17,at Austria,3,"2,437","Manuela Zinsberger, Laura Wienroither, Viktoria Schnaderbeck",21,
18,nir Northern Ireland,3,"2,014","Rebecca Holloway, Simone Magill, Mikayla Wildgoose",46,
19,nz New Zealand,3,"1,929","Ria Percival, Anna Leat, CJ Bott",22,
20,es Spain,2,"2,461","Ona Batlle, Vicky Losada",9,
21,jp Japan,2,"1,950","Yui Hasegawa, Mana Iwabuchi",13,
22,ng Nigeria,2,"1,833","Ashleigh Plumptre, Rinsola Babajide",41,
23,be Belgium,2,"1,587","Justine Vanhaevermaet, Léa Cordier",20,
24,us United States,2,"1,442","Zaneta Wyne, Tobin Heath",1,
25,br Brazil,2,480,"Rafaelle, Ivana Fuso",7,
26,is Iceland,1,"1,677",Dagný Brynjarsdóttir,16,
27,gr Greece,1,"1,649",Veatriki Sarri,60,
28,cz Czech Republic,1,"1,545",Kateřina Svitková,24,.
29,it Italy,1,"1,435",Aurora Galli,15,
30,gh Ghana,1,996,Chantelle Boye-Hlorkah,57,
31,ma Morocco,1,754,Rosella Ayane,78,
32,cn China PR,1,262,Tang Jiali,19,
33,ru Russia,1,47,Alsu Abdullina,25,
34,mx Mexico,1,,Silvana Flores,27,
35,si Slovenia,1,,Luana Zajmi,48,
36,za South Africa,1,,Faith Nokuthula,56,
